frame,t,dt_us,accept,u0,v0,c0,u1,v1,c1
374,47.7530,6402.0,1,,,,,,
375,47.8758,3585.0,1,,,,,,
376,47.9989,6400.0,1,,,,,,
377,48.1269,3586.0,1,,,,,,
378,48.2759,3587.0,1,,,,,,
379,48.4025,3582.0,1,,,,,,
380,48.5252,3583.0,1,,,,,,
381,48.6508,6405.0,1,,,,,,
382,48.7744,3580.0,1,,,,,,
383,48.8982,6406.0,1,,,,,,
384,49.0205,6403.0,1,,,,,,
385,49.1468,3578.0,1,,,,,,
386,49.2655,3582.0,1,,,,,,
387,49.3880,6406.0,1,,,,,,
388,49.5141,3580.0,1,,,,,,
389,49.6391,6407.0,1,,,,,,
390,49.7626,3574.0,1,,,,,,
391,49.8868,6409.0,1,,,,,,
392,50.0112,3574.0,1,,,,,,
393,50.1552,6414.0,1,,,,,,
394,50.2802,3578.0,1,,,,,,
395,50.4032,3571.0,1,,,,,,
396,50.5267,6414.0,1,,,,,,
397,50.6502,3570.0,1,,,,,,
398,50.7739,3567.0,1,,,,,,
399,50.9026,6416.0,1,,,,,,
400,51.0282,6416.0,1,,,,,,
401,51.1553,3567.0,1,,,,,,
402,51.2801,3567.0,1,,,,,,
403,51.4040,6423.0,1,,,,,,
404,51.5224,3567.0,1,,,,,,
405,51.6464,6420.0,1,,,,,,
406,51.7692,3562.0,1,,,,,,
407,51.8927,6422.0,1,,,,,,
408,52.0174,3567.0,1,,,,,,
409,52.1440,6428.0,1,,,,,,
410,52.2694,3560.0,1,,,,,,
411,52.3949,3559.0,1,,,,,,
412,52.5243,3558.0,1,,,,,,
413,52.6491,3557.0,1,,,,,,
414,52.7726,6433.0,1,,,,,,
415,52.8995,3560.0,1,,,,,,
416,53.0251,6428.0,1,,,,,,
417,53.1535,6431.0,1,,,,,,
418,53.2777,3553.0,1,,,,,,
419,53.4007,6432.0,1,,,,,,
420,53.5268,3551.0,1,,,,,,
421,53.6569,6430.0,1,,,,,,
422,53.7794,6433.0,1,,,,,,
423,53.9027,6434.0,1,,,,,,
424,54.0292,3550.0,1,,,,,,
425,54.1541,3555.0,1,,,,,,
426,54.2778,6437.0,1,,,,,,
427,54.4016,3552.0,1,,,,,,
428,54.5276,3545.0,1,,,,,,
429,54.6544,3550.0,1,,,,,,
430,54.7785,6440.0,1,,,,,,
431,54.9007,3543.0,1,,,,,,
432,55.0267,3542.0,1,,,,,,
433,55.1629,3548.0,1,,,,,,
434,55.2955,6445.0,1,,,,,,
435,55.4193,6441.0,1,,,,,,
436,55.5429,3540.0,1,,,,,,
437,55.6670,6448.0,1,,,,,,
438,55.7929,3538.0,1,,,,,,
439,55.9182,6446.0,1,,,,,,
440,56.0358,3536.0,1,,,,,,
441,56.1573,6447.0,1,,,,,,
442,56.2808,3535.0,1,,,,,,
443,56.4048,6453.0,1,,,,,,
444,56.5306,3534.0,1,,,,,,
445,56.6597,6454.0,1,,,,,,
446,56.7849,6453.0,1,,,,,,
447,56.9088,3532.0,1,,,,,,
448,57.0342,6459.0,1,,,,,,
449,57.1620,3533.0,1,,,,,,
450,57.2855,3532.0,1,,,,,,
451,57.4062,3528.0,1,,,,,,
452,57.5312,3526.0,1,,,,,,
453,57.6610,6456.0,1,,,,,,
454,57.7870,3534.0,1,,,,,,
455,57.9101,3525.0,1,,,,,,
456,58.0341,6464.0,1,,,,,,
457,58.1605,3523.0,1,,,,,,
458,58.2802,6459.0,1,,,,,,
459,58.4015,6461.0,1,,,,,,
460,58.5255,6460.0,1,,,,,,
461,58.6504,3520.0,1,,,,,,
462,58.7741,6463.0,1,,,,,,
463,58.8965,3519.0,1,,,,,,
464,59.0208,6467.0,1,,,,,,
465,59.1524,6475.0,1,,,,,,
466,59.2777,3516.0,1,,,,,,
467,59.4012,6467.0,1,,,,,,
468,59.5254,3516.0,1,,,,,,
469,59.6524,6470.0,1,,,,,,
470,59.7770,6468.0,1,,,,,,
471,59.8997,6469.0,1,,,,,,
472,60.0250,3513.0,1,,,,,,
473,60.1539,6473.0,1,,,,,,
474,60.2931,6474.0,1,,,,,,
475,60.4212,6478.0,1,,,,,,
476,60.5421,3509.0,1,,,,,,
477,60.6658,3509.0,1,,,,,,
478,60.7909,3513.0,1,,,,,,
479,60.9130,3508.0,1,,,,,,
480,61.0387,6479.0,1,,,,,,
481,61.1630,6477.0,1,,,,,,
482,61.2873,3504.0,1,,,,,,
483,61.4087,6478.0,1,,,,,,
484,61.5308,3503.0,1,,,,,,
485,61.6549,3503.0,1,,,,,,
486,61.7775,6481.0,1,,,,,,
487,61.9002,3500.0,1,,,,,,
488,62.0259,3501.0,1,,,,,,
489,62.1541,3500.0,1,,,,,,
490,62.2784,3504.0,1,,,,,,
491,62.4011,3498.0,1,,,,,,
492,62.5266,6489.0,1,,,,,,
493,62.6532,3496.0,1,,,,,,
494,62.7722,6488.0,1,,,,,,
495,62.8932,6487.0,1,,,,,,
496,63.0170,6489.0,1,,,,,,
497,63.1458,6495.0,1,,,,,,
498,63.2737,6499.0,1,,,,,,
499,63.3997,3496.0,1,,,,,,
500,63.5270,6497.0,1,,,,,,
501,63.6526,6493.0,1,,,,,,
502,63.7753,6493.0,1,,,,,,
503,63.8972,3488.0,1,,,,,,
504,64.0215,3489.0,1,,,,,,
505,64.1466,6495.0,1,,,,,,
506,64.2708,3486.0,1,,,,,,
507,64.3951,3490.0,1,,,,,,
508,64.5211,3486.0,1,,,,,,
509,64.6462,6497.0,1,,,,,,
510,64.7733,6497.0,1,,,,,,
511,64.9008,3486.0,1,,,,,,
512,65.0203,3487.0,1,,,,,,
513,65.1448,3486.0,1,,,,,,
514,65.2698,6507.0,1,,,,,,
515,65.4074,6504.0,1,,,,,,
516,65.5329,6508.0,1,,,,,,
517,65.6583,3479.0,1,,,,,,
518,65.7825,6506.0,1,,,,,,
519,65.9061,3476.0,1,,,,,,
520,66.0326,6515.0,1,,,,,,
521,66.1598,6513.0,1,,,,,,
522,66.2829,3474.0,1,,,,,,
523,66.4067,6512.0,1,,,,,,
524,66.5295,6511.0,1,,,,,,
525,66.6532,3473.0,1,,,,,,
526,66.7784,6516.0,1,,,,,,
527,66.9044,3471.0,1,,,,,,
528,67.0303,6514.0,1,,,,,,
529,67.1595,6516.0,1,,,,,,
530,67.2799,3468.0,1,,,,,,
531,67.4047,6523.0,1,,,,,,
532,67.5292,6516.0,1,,,,,,
533,67.6533,3466.0,1,,,,,,
534,67.7771,3472.0,1,,,,,,
535,67.9005,3464.0,1,,,,,,
536,68.0244,3464.0,1,,,,,,
537,68.1523,3465.0,1,,,,,,
538,68.2776,6523.0,1,,,,,,
539,68.4003,3462.0,1,,,,,,
540,68.5266,6525.0,1,,,,,,
541,68.6590,3460.0,1,,,,,,
542,68.7849,3460.0,1,,,,,,
543,68.9094,3458.0,1,,,,,,
544,69.0347,6526.0,1,,,,,,
545,69.1601,3456.0,1,,,,,,
546,69.2840,6525.0,1,,,,,,
547,69.4055,3456.0,1,,,,,,
548,69.5255,3455.0,1,,,,,,
549,69.6495,3455.0,1,,,,,,
550,69.7732,6536.0,1,,,,,,
551,69.8952,6529.0,1,,,,,,
552,70.0217,3453.0,1,,,,,,
553,70.1512,3455.0,1,,,,,,
554,70.2775,3453.0,1,,,,,,
555,70.4025,6541.0,1,,,,,,
556,70.5588,3448.0,1,572.05,372.89,0.615,773.74,385.97,0.505
557,70.7036,6527.0,1,557.47,423.20,0.695,774.44,434.46,0.693
558,70.8457,6531.0,1,566.12,474.44,0.752,771.41,485.15,0.754
559,70.9853,3453.0,1,581.24,488.82,0.777,776.33,501.17,0.750
560,71.1324,6532.0,1,583.98,496.33,0.788,780.88,510.04,0.747
561,71.2696,3443.0,1,598.19,509.35,0.827,785.37,523.68,0.703
562,71.4089,3439.0,1,602.60,518.98,0.827,791.31,534.27,0.705
563,71.5516,3448.0,1,608.00,528.14,0.846,800.35,543.53,0.682
564,71.6968,3441.0,1,606.57,544.54,0.996,805.83,560.07,0.857
565,71.8369,6532.0,1,599.65,546.55,1.000,803.72,560.59,0.962
566,71.9727,3445.0,1,595.72,547.24,1.000,800.52,560.43,0.966
